# US States Location Table
# Format: location_id	name	polygon_vertices
# polygon_vertices format: lon1,lat1;lon2,lat2;lon3,lat3;...
# Vertices represent actual state boundaries (simplified to 13-50 vertices per state)
# Vertices are in counterclockwise order
# Longitude: negative for West, positive for East
# Latitude: negative for South, positive for North
# Note: Alaska uses extended western longitude (around -189° to -130°) for consistency
#       across the International Date Line. Scripts calculate rectangular
#       bounds from these polygons automatically.
location_id	name	polygon_vertices
north-carolina	North Carolina	-80.978661,36.562108;-80.294043,36.545677;-75.868676,36.551154;-75.75366,36.151337;-76.071322,36.140383;-76.410893,36.080137;-76.68474,36.008937;-76.673786,35.937736;-76.3616,35.943213;-76.060368,35.992506;-75.781044,35.937736;-75.715321,35.696751;-75.89606,35.570781;-76.147999,35.324319;-76.536862,35.14358;-76.394462,34.973795;-76.493047,34.661609;-76.673786,34.694471;-77.210526,34.60684;-77.555573,34.415147;-77.971821,33.845545;-78.541422,33.851022;-79.675149,34.80401;-80.781491,34.935456;-80.934845,35.105241;-81.044384,35.149057;-82.276696,35.198349;-82.764143,35.066903;-83.109191,35.00118;-84.319594,34.990226;-84.29221,35.225734;-84.018363,35.41195;-83.7719,35.559827;-83.251591,35.718659;-82.994175,35.773428;-82.638174,36.063706;-82.610789,35.965121;-82.03571,36.118475;-81.909741,36.304691;-81.679709,36.589492
north-dakota	North Dakota	-97.228743,49.000239;-97.097296,48.682577;-97.16302,48.545653;-97.130158,48.140359;-97.053481,47.948667;-96.856311,47.609096;-96.823449,46.968294;-96.785111,46.924479;-96.801542,46.656109;-96.719387,46.437031;-96.598895,46.332969;-96.560556,45.933153;-104.047534,45.944106;-104.042057,47.861036;-104.047534,49.000239;-97.228743,49.000239
ohio	Ohio	-80.518598,41.978802;-80.518598,40.636951;-80.666475,40.582182;-80.595275,40.472643;-80.600752,40.319289;-80.737675,40.078303;-80.830783,39.711348;-81.219646,39.388209;-81.345616,39.344393;-81.455155,39.410117;-81.57017,39.267716;-81.685186,39.273193;-81.811156,39.0815;-81.783771,38.966484;-81.887833,38.873376;-82.03571,39.026731;-82.221926,38.785745;-82.172634,38.632391;-82.293127,38.577622;-82.331465,38.446175;-82.594358,38.424267;-82.731282,38.561191;-82.846298,38.588575;-82.890113,38.758361;-83.032514,38.725499;-83.142052,38.626914;-83.519961,38.703591;-83.678792,38.632391;-83.903347,38.769315;-84.215533,38.807653;-84.231963,38.895284;-84.43461,39.103408;-84.817996,39.103408;-84.801565,40.500028;-84.807042,41.694001;-83.454238,41.732339;-83.065375,41.595416;-82.933929,41.513262;-82.835344,41.589939;-82.616266,41.431108;-82.479343,41.381815;-82.013803,41.513262;-81.739956,41.485877;-81.444201,41.672093;-81.011523,41.852832;-80.518598,41.978802;-80.518598,41.978802
oklahoma	Oklahoma	-100.087706,37.000263;-94.616242,37.000263;-94.616242,36.501861;-94.430026,35.395519;-94.484796,33.637421;-94.868182,33.74696;-94.966767,33.861976;-95.224183,33.960561;-95.289906,33.87293;-95.547322,33.878407;-95.602092,33.933176;-95.8376,33.834591;-95.936185,33.889361;-96.149786,33.840068;-96.346956,33.686714;-96.423633,33.774345;-96.631756,33.845545;-96.850834,33.845545;-96.922034,33.960561;-97.173974,33.736006;-97.256128,33.861976;-97.371143,33.823637;-97.458774,33.905791;-97.694283,33.982469;-97.869545,33.851022;-97.946222,33.987946;-98.088623,34.004376;-98.170777,34.113915;-98.36247,34.157731;-98.488439,34.064623;-98.570593,34.146777;-98.767763,34.135823;-98.986841,34.223454;-99.189488,34.2125;-99.260688,34.404193;-99.57835,34.415147;-99.698843,34.382285;-99.923398,34.573978;-100.000075,34.563024;-100.000075,36.501861;-101.812942,36.501861;-103.001438,36.501861;-103.001438,37.000263;-102.042974,36.994786;-100.087706,37.000263
oregon	Oregon	-123.211348,46.174138;-123.11824,46.185092;-122.904639,46.08103;-122.762239,45.659305;-122.247407,45.549767;-121.535404,45.725029;-121.217742,45.670259;-121.18488,45.604536;-120.505739,45.697644;-120.209985,45.725029;-119.525367,45.911245;-119.125551,45.933153;-118.988627,45.998876;-116.78142,45.823614;-116.545912,45.752413;-116.671881,45.319735;-116.732128,45.144473;-116.847143,45.02398;-116.934774,44.782995;-117.038836,44.750133;-117.170283,44.257209;-116.97859,44.240778;-116.896436,44.158624;-117.027882,42.000709;-118.698349,41.989755;-121.037003,41.995232;-122.378853,42.011663;-123.233256,42.006186;-124.356029,42.115725;-124.432706,42.438865;-124.553198,42.838681;-124.454613,43.002989;-124.383413,43.271359;-124.169813,43.8081;-124.060274,44.657025;-123.97812,45.144473;-123.939781,45.659305;-123.994551,45.944106;-123.545441,46.261769;-123.370179,46.146753
pennsylvania	Pennsylvania	-79.76278,42.252649;-79.76278,42.000709;-75.35932,42.000709;-75.249781,41.863786;-75.173104,41.869263;-75.052611,41.754247;-75.074519,41.60637;-74.89378,41.436584;-74.740426,41.431108;-74.69661,41.359907;-74.828057,41.288707;-74.882826,41.179168;-75.134765,40.971045;-75.052611,40.866983;-75.205966,40.691721;-75.195012,40.576705;-75.069042,40.543843;-75.058088,40.417874;-74.773287,40.215227;-74.82258,40.127596;-75.129289,39.963288;-75.145719,39.88661;-75.414089,39.804456;-75.616736,39.831841;-75.786521,39.722302;-79.477979,39.722302;-80.518598,39.722302;-80.518598,40.636951;-80.518598,41.978802;-80.518598,41.978802;-80.332382,42.033571;-79.76278,42.269079;-79.76278,42.252649
rhode-island	Rhode Island	-71.530939,42.01714;-71.383061,42.01714;-71.328292,41.781632;-71.22423,41.710431;-71.344723,41.726862;-71.448785,41.578985;-71.481646,41.370861;-71.859555,41.321569;-71.799309,41.414677;-71.799309,42.006186;-71.530939,42.01714
south-carolina	South Carolina	-82.764143,35.066903;-82.550543,35.160011;-82.276696,35.198349;-81.044384,35.149057;-81.038907,35.044995;-80.934845,35.105241;-80.781491,34.935456;-80.797922,34.820441;-79.675149,34.80401;-78.541422,33.851022;-78.716684,33.80173;-78.935762,33.637421;-79.149363,33.380005;-79.187701,33.171881;-79.357487,33.007573;-79.582041,33.007573;-79.631334,32.887081;-79.866842,32.755634;-79.998289,32.613234;-80.206412,32.552987;-80.430967,32.399633;-80.452875,32.328433;-80.660998,32.246279;-80.885553,32.032678;-81.115584,32.120309;-81.121061,32.290094;-81.279893,32.558464;-81.416816,32.629664;-81.42777,32.843265;-81.493493,33.007573;-81.761863,33.160928;-81.937125,33.347144;-81.926172,33.462159;-82.194542,33.631944;-82.325988,33.81816;-82.55602,33.94413;-82.714851,34.152254;-82.747713,34.26727;-82.901067,34.486347;-83.005129,34.469916;-83.339222,34.683517;-83.322791,34.787579;-83.109191,35.00118;-82.764143,35.066903
south-dakota	South Dakota	-104.047534,45.944106;-96.560556,45.933153;-96.582464,45.818137;-96.856311,45.604536;-96.681049,45.412843;-96.451017,45.297827;-96.451017,43.501391;-96.582464,43.479483;-96.527695,43.397329;-96.560556,43.222067;-96.434587,43.123482;-96.511264,43.052282;-96.544125,42.855112;-96.631756,42.707235;-96.44554,42.488157;-96.626279,42.515542;-96.692003,42.657942;-97.217789,42.844158;-97.688806,42.844158;-97.831206,42.866066;-97.951699,42.767481;-98.466531,42.94822;-98.499393,42.997512;-101.626726,42.997512;-103.324578,43.002989;-104.053011,43.002989;-104.058488,44.996596;-104.042057,44.996596;-104.047534,45.944106
tennessee	Tennessee	-88.054868,36.496384;-88.071299,36.677123;-87.852221,36.633308;-86.592525,36.655216;-85.486183,36.616877;-85.289013,36.627831;-84.544149,36.594969;-83.689746,36.584015;-83.673316,36.600446;-81.679709,36.589492;-81.723525,36.353984;-81.909741,36.304691;-82.03571,36.118475;-82.216449,36.156814;-82.610789,35.965121;-82.638174,36.063706;-82.775097,35.997983;-82.994175,35.773428;-83.251591,35.718659;-83.498053,35.565304;-83.7719,35.559827;-84.018363,35.41195;-84.09504,35.247642;-84.29221,35.225734;-84.319594,34.990226;-85.606675,34.984749;-87.359296,35.00118;-88.202745,34.995703;-88.471115,34.995703;-90.311367,34.995703;-90.212782,35.023087;-90.114197,35.198349;-90.130628,35.439335;-89.944412,35.603643;-89.911551,35.756997;-89.763673,35.811767;-89.730812,35.997983;-89.533642,36.249922;-89.539119,36.496384;-89.484349,36.496384;-89.418626,36.496384;-89.298133,36.507338;-88.054868,36.496384
texas	Texas	-101.812942,36.501861;-99.923398,34.573978;-99.189488,34.2125;-98.488439,34.064623;-97.946222,33.987946;-97.371143,33.823637;-96.922034,33.960561;-96.346956,33.686714;-95.602092,33.933176;-94.966767,33.861976;-94.183564,33.593606;-94.041164,31.994339;-93.526331,30.93729;-93.767317,30.334826;-94.002825,29.68307;-94.873659,29.672117;-94.911997,29.496854;-95.985477,28.604113;-96.478402,28.598636;-96.593418,28.357651;-97.256128,27.694941;-97.540929,27.229401;-97.562836,26.840538;-97.30542,26.161398;-97.885976,26.06829;-98.822533,26.369522;-99.266165,26.840538;-99.479765,27.48134;-99.934351,27.979742;-100.498476,28.66436;-101.013309,29.370885;-101.413125,29.754271;-102.388021,29.765225;-102.97953,29.184669;-104.146119,29.381839;-104.688336,30.181472;-105.005998,30.685351;-105.953509,31.364491;-106.643603,31.901231;-103.045254,34.01533
utah	Utah	-112.164359,41.995232;-111.047063,42.000709;-111.047063,40.998429;-109.04798,40.998429;-109.053457,39.125316;-109.058934,38.27639;-109.042503,38.166851;-109.042503,37.000263;-110.499369,37.00574;-114.048427,37.000263;-114.04295,41.995232;-112.164359,41.995232
vermont	Vermont	-71.503554,45.013027;-71.4926,44.914442;-71.629524,44.750133;-71.536416,44.585825;-71.700724,44.41604;-72.034817,44.322932;-72.02934,44.07647;-72.116971,43.994316;-72.204602,43.769761;-72.379864,43.572591;-72.456542,43.150867;-72.445588,43.008466;-72.533219,42.953697;-72.544173,42.80582;-72.456542,42.729142;-73.267129,42.745573;-73.278083,42.833204;-73.245221,43.523299;-73.404052,43.687607;-73.349283,43.769761;-73.436914,44.043608;-73.321898,44.246255;-73.294514,44.437948;-73.387622,44.618687;-73.332852,44.804903;-73.343806,45.013027;-72.308664,45.002073;-71.503554,45.013027
virginia	Virginia	-78.349729,39.464886;-77.82942,39.130793;-77.566527,39.306055;-77.456988,39.223901;-77.248864,39.026731;-77.040741,38.791222;-77.128372,38.632391;-77.325542,38.446175;-77.013356,38.374975;-76.964064,38.216144;-76.514954,38.024451;-76.235631,37.887527;-76.246584,37.389126;-76.399939,37.159094;-76.273969,37.082417;-76.619016,37.120755;-76.48757,36.95097;-75.994645,36.923586;-79.510841,36.5402;-80.294043,36.545677;-81.679709,36.589492;-83.136575,36.742847;-83.070852,36.852385;-82.868205,36.978355;-82.720328,37.120755;-82.353373,37.268633;-81.986418,37.454849;-81.849494,37.285064;-81.55374,37.208387;-81.225123,37.235771;-80.967707,37.290541;-80.474782,37.421987;-80.294043,37.690357;-80.184505,37.849189;-79.921611,38.177805;-79.724442,38.364021;-79.477979,38.457129;-79.209609,38.495467;-78.996008,38.851469;-78.404499,39.169131
washington	Washington	-117.033359,49.000239;-117.044313,47.762451;-117.055267,46.343923;-116.92382,46.168661;-118.988627,45.998876;-119.125551,45.933153;-119.963522,45.823614;-120.209985,45.725029;-120.637186,45.746937;-121.18488,45.604536;-121.535404,45.725029;-121.809251,45.708598;-122.762239,45.659305;-122.811531,45.960537;-123.11824,46.185092;-123.211348,46.174138;-123.545441,46.261769;-123.72618,46.300108;-124.065751,46.327492;-124.027412,46.464416;-124.098612,46.74374;-124.31769,47.357157;-124.427229,47.740543;-124.706553,48.184175;-124.597014,48.381345;-123.983597,48.162267;-123.704273,48.167744;-123.162056,48.167744;-123.036086,48.080113;-122.636269,47.866512;-122.515777,47.882943;-122.422669,47.318818;-122.324084,47.346203;-122.395284,47.800789;-122.230976,48.030821;-122.373376,48.288237;-122.471961,48.468976;-122.488392,48.753777;-122.647223,48.775685;-122.756762,49.000239
west-virginia	West Virginia	-80.518598,40.636951;-80.518598,39.722302;-79.488933,39.20747;-79.291763,39.300578;-78.963147,39.437501;-78.470222,39.514178;-78.431884,39.623717;-78.174467,39.694917;-77.834897,39.601809;-77.719881,39.322485;-78.349729,39.464886;-78.404499,39.169131;-78.996008,38.851469;-79.313671,38.413313;-79.477979,38.457129;-79.724442,38.364021;-79.998289,37.997066;-80.184505,37.849189;-80.29952,37.509618;-80.474782,37.421987;-80.967707,37.290541;-81.362047,37.339833;-81.55374,37.208387;-81.849494,37.285064;-81.969987,37.537003;-82.101434,37.553434;-82.342419,37.783465;-82.50125,37.931343;-82.594358,38.424267;-82.293127,38.577622;-82.172634,38.632391;-82.03571,39.026731;-81.783771,38.966484;-81.811156,39.0815;-81.57017,39.267716;-81.455155,39.410117;-81.219646,39.388209;-80.737675,40.078303;-80.600752,40.319289;-80.666475,40.582182
wisconsin	Wisconsin	-90.415429,46.568478;-90.229213,46.508231;-89.09001,46.135799;-88.531362,46.020784;-87.989145,45.796229;-87.791975,45.500474;-87.649574,45.341643;-87.589328,45.095181;-87.819359,44.95278;-87.983668,44.722749;-87.928898,44.536533;-87.611236,44.837764;-87.238804,45.166381;-87.047111,45.089704;-87.468835,44.552964;-87.540035,44.158624;-87.737205,43.8793;-87.704344,43.687607;-87.912467,43.249452;-87.76459,42.783912;-88.788778,42.493634;-90.711184,42.636034;-91.143862,42.909881;-91.056231,43.254929;-91.215062,43.501391;-91.269832,43.616407;-91.43414,43.994316;-91.877772,44.202439;-92.233773,44.443425;-92.545959,44.569394;-92.737652,45.117088;-92.644544,45.440228;-92.885529,45.577151;-92.869098,45.719552;-92.354266,46.015307;-92.29402,46.667063;-92.014696,46.705401;-91.09457,46.864232;-90.749522,46.88614;-90.55783,46.584908
wyoming	Wyoming	-109.080842,45.002073;-105.91517,45.002073;-104.058488,44.996596;-104.053011,43.002989;-104.053011,41.003906;-105.728954,40.998429;-107.919731,41.003906;-109.04798,40.998429;-111.047063,40.998429;-111.047063,42.000709;-111.047063,44.476286;-111.05254,45.002073;-109.080842,45.002073
puerto-rico	Puerto Rico	-66.448338,17.984326;-66.771478,18.006234;-66.924832,17.929556;-66.985078,17.973372;-67.209633,17.956941;-67.154863,18.19245;-67.269879,18.362235;-67.094617,18.515589;-66.957694,18.488204;-66.409999,18.488204;-65.840398,18.433435;-65.632274,18.367712;-65.626797,18.203403;-65.730859,18.186973;-65.834921,18.017187;-66.234737,17.929556;-66.448338,17.984326
