# US States Location Table
# Format: location_id	name	polygon_vertices
# polygon_vertices format: lon1,lat1;lon2,lat2;lon3,lat3;...
# Vertices represent actual state boundaries (simplified to 13-50 vertices per state)
# Vertices are in counterclockwise order
# Longitude: negative for West, positive for East
# Latitude: negative for South, positive for North
# Note: Alaska uses extended western longitude (around -189° to -130°) for consistency
#       across the International Date Line. Scripts calculate rectangular
#       bounds from these polygons automatically.
location_id	name	polygon_vertices
georgia	Georgia	-83.109191,35.00118;-83.322791,34.787579;-83.339222,34.683517;-83.005129,34.469916;-82.747713,34.26727;-82.714851,34.152254;-82.55602,33.94413;-82.325988,33.81816;-81.926172,33.462159;-81.937125,33.347144;-81.761863,33.160928;-81.42777,32.843265;-81.416816,32.629664;-81.279893,32.558464;-81.121061,32.290094;-80.885553,32.032678;-81.132015,31.693108;-81.175831,31.517845;-81.279893,31.364491;-81.400385,31.13446;-81.444201,30.707258;-81.718048,30.745597;-82.041187,30.751074;-82.002849,30.564858;-82.046664,30.362211;-82.167157,30.356734;-83.498053,30.647012;-84.867289,30.712735;-85.004212,31.003013;-85.113751,31.27686;-85.141136,31.840985;-85.053504,32.01077;-85.058981,32.13674;-85.004212,32.322956;-84.960397,32.421541;-85.069935,32.580372;-85.184951,32.859696;-85.606675,34.984749;-84.319594,34.990226;-83.618546,34.984749
hawaii	Hawaii	-155.634835,18.948267;-155.881297,19.035898;-155.919636,19.123529;-155.886774,19.348084;-156.062036,19.73147;-155.925113,19.857439;-155.826528,20.032702;-155.897728,20.147717;-155.87582,20.26821;-155.596496,20.12581;-155.284311,20.021748;-155.092618,19.868393;-155.092618,19.736947;-154.807817,19.523346;-154.983079,19.348084;-155.295265,19.26593;-155.514342,19.134483;-155.634835,18.948267
idaho	Idaho	-116.04751,49.000239;-116.04751,47.976051;-115.718894,47.42288;-115.527201,47.302388;-115.302646,47.187372;-114.886399,46.809463;-114.623506,46.705401;-114.322274,46.645155;-114.492059,46.037214;-114.387997,45.88386;-114.497536,45.670259;-114.333228,45.456659;-114.086765,45.593582;-113.807441,45.604536;-113.736241,45.330689;-113.571933,45.128042;-113.456917,44.865149;-113.133778,44.772041;-113.002331,44.448902;-112.783254,44.48724;-112.241036,44.569394;-112.104113,44.520102;-111.819312,44.509148;-111.616665,44.547487;-111.227803,44.580348;-111.047063,42.000709;-112.164359,41.995232;-117.027882,42.000709;-116.896436,44.158624;-116.97859,44.240778;-117.241483,44.394132;-116.934774,44.782995;-116.830713,44.930872;-116.732128,45.144473;-116.463758,45.61549;-116.545912,45.752413;-116.918344,45.993399;-117.055267,46.343923;-117.038836,46.426077;-117.033359,49.000239
illinois	Illinois	-90.639984,42.510065;-88.788778,42.493634;-87.83579,42.301941;-87.523605,41.710431;-87.529082,39.34987;-87.512651,38.95553;-87.62219,38.637868;-87.655051,38.506421;-87.950806,38.27639;-88.000098,38.101128;-88.060345,37.865619;-88.15893,37.657496;-88.476592,37.389126;-88.514931,37.285064;-88.547792,37.071463;-89.029763,37.213863;-89.183118,37.038601;-89.292656,36.994786;-89.435057,37.34531;-89.517211,37.537003;-89.84035,37.903958;-90.059428,38.013497;-90.355183,38.216144;-90.179921,38.632391;-90.10872,38.845992;-90.251121,38.917192;-90.585214,38.867899;-90.727615,39.256762;-91.061708,39.470363;-91.494386,40.034488;-91.417709,40.379535;-91.401278,40.560274;-91.09457,40.823167;-90.946692,41.097014;-91.111001,41.239415;-90.656414,41.463969;-90.311367,41.743293;-90.179921,41.809016;-90.168967,42.126679;-90.420906,42.329326
indiana	Indiana	-85.990061,41.759724;-84.807042,41.759724;-84.807042,41.694001;-84.801565,40.500028;-84.817996,39.103408;-84.894673,39.059592;-84.812519,38.785745;-84.987781,38.780268;-85.173997,38.68716;-85.431413,38.730976;-85.42046,38.533806;-85.590245,38.451652;-85.655968,38.325682;-85.83123,38.27639;-85.924338,38.024451;-86.039354,37.958727;-86.263908,38.051835;-86.302247,38.166851;-86.521325,38.040881;-86.504894,37.931343;-86.729448,37.893004;-86.795172,37.991589;-87.047111,37.893004;-87.129265,37.788942;-87.381204,37.93682;-87.512651,37.903958;-87.600282,37.975158;-87.682436,37.903958;-87.934375,37.893004;-88.027483,37.799896;-88.060345,37.865619;-88.000098,38.101128;-87.923421,38.15042;-87.950806,38.27639;-87.83579,38.292821;-87.655051,38.506421;-87.62219,38.637868;-87.49622,38.780268;-87.512651,38.95553;-87.63862,39.169131;-87.529082,39.34987;-87.523605,41.710431;-87.42502,41.644708;-87.118311,41.644708;-86.822556,41.759724;-85.990061,41.759724
iowa	Iowa	-91.368417,43.501391;-91.215062,43.501391;-91.204109,43.353514;-91.056231,43.254929;-91.176724,43.134436;-91.143862,42.909881;-91.067185,42.75105;-90.711184,42.636034;-90.639984,42.510065;-90.420906,42.329326;-90.393521,42.225264;-90.168967,42.126679;-90.141582,42.000709;-90.179921,41.809016;-90.311367,41.743293;-90.344229,41.589939;-90.656414,41.463969;-91.045277,41.414677;-91.111001,41.239415;-90.946692,41.097014;-90.963123,40.921752;-91.09457,40.823167;-91.121954,40.669813;-91.401278,40.560274;-91.417709,40.379535;-91.527248,40.412397;-91.729895,40.615043;-91.833957,40.609566;-93.257961,40.582182;-94.632673,40.571228;-95.7664,40.587659;-95.881416,40.719105;-95.826646,40.976521;-95.925231,41.201076;-95.919754,41.453015;-96.095016,41.540646;-96.122401,41.67757;-96.062155,41.798063;-96.127878,41.973325;-96.264801,42.039048;-96.44554,42.488157;-96.631756,42.707235;-96.544125,42.855112;-96.511264,43.052282;-96.434587,43.123482;-96.560556,43.222067;-96.527695,43.397329;-96.582464,43.479483;-96.451017,43.501391;-91.368417,43.501391
kansas	Kansas	-101.90605,40.001626;-95.306337,40.001626;-95.207752,39.908518;-94.884612,39.831841;-95.109167,39.541563;-94.983197,39.442978;-94.824366,39.20747;-94.610765,39.158177;-94.616242,37.000263;-100.087706,37.000263;-102.042974,36.994786;-102.053927,40.001626;-101.90605,40.001626
kentucky	Kentucky	-83.903347,38.769315;-83.678792,38.632391;-83.142052,38.626914;-82.890113,38.758361;-82.731282,38.561191;-82.621743,38.123036;-82.342419,37.783465;-82.101434,37.553434;-82.353373,37.268633;-82.720328,37.120755;-82.868205,36.978355;-83.070852,36.852385;-83.673316,36.600446;-84.544149,36.594969;-85.486183,36.616877;-87.852221,36.633308;-88.054868,36.496384;-89.298133,36.507338;-89.363857,36.622354;-89.133825,36.983832;-89.029763,37.213863;-88.547792,37.071463;-88.514931,37.285064;-88.065822,37.482234;-88.027483,37.799896;-87.934375,37.893004;-87.600282,37.975158;-87.381204,37.93682;-87.047111,37.893004;-86.729448,37.893004;-86.521325,38.040881;-86.263908,38.051835;-85.924338,38.024451;-85.83123,38.27639;-85.590245,38.451652;-85.431413,38.730976;-84.987781,38.780268;-84.894673,39.059592;-84.43461,39.103408;-84.215533,38.807653
louisiana	Louisiana	-93.608485,33.018527;-91.16577,33.002096;-91.143862,32.843265;-91.006939,32.514649;-91.105524,31.988862;-91.401278,31.621907;-91.516294,31.27686;-91.565587,31.068736;-89.747242,30.997536;-89.681519,30.449842;-89.522688,30.181472;-89.818443,30.044549;-89.599365,29.88024;-89.287179,29.88024;-89.424103,29.699501;-89.621273,29.655686;-89.506257,29.387316;-89.09001,29.2011;-89.16121,29.009407;-89.484349,29.217531;-89.851304,29.480424;-90.032043,29.425654;-90.103244,29.151807;-90.333275,29.277777;-90.645461,29.129899;-90.963123,29.179192;-91.220539,29.436608;-91.532725,29.529716;-91.883249,29.710455;-92.146142,29.715932;-92.31045,29.535193;-92.617159,29.579009;-93.2251,29.776178;-93.838517,29.688547;-93.690639,30.143133;-93.696116,30.438888;-93.630393,30.679874;-93.542762,31.15089;-93.822086,31.775262;-94.041164,33.018527
maine	Maine	-70.703921,43.057759;-70.824413,43.128959;-70.966814,43.34256;-71.032537,44.657025;-70.649151,45.440228;-70.556043,45.664782;-70.386258,45.735983;-70.260289,45.889337;-70.210996,46.327492;-70.057642,46.415123;-69.225147,47.461219;-69.033454,47.242141;-68.902007,47.176418;-68.376221,47.285957;-67.954497,47.198326;-67.790188,47.066879;-67.801142,45.675736;-67.505388,45.48952;-67.417757,45.379982;-67.346556,45.128042;-66.979601,44.804903;-67.187725,44.646072;-67.406803,44.596779;-67.549203,44.624164;-67.75185,44.54201;-68.118805,44.476286;-68.222867,44.48724;-68.403606,44.251732;-68.567914,44.311978;-68.82533,44.311978;-68.984161,44.426994;-69.099177,44.103854;-69.071793,44.043608;-69.444224,43.966931;-69.707118,43.82453;-69.833087,43.720469;-70.030257,43.851915;-70.194565,43.567114;-70.358873,43.528776;-70.556043,43.320652
maryland	Maryland	-79.477979,39.722302;-75.786521,39.722302;-75.047134,38.451652;-75.244304,38.029928;-75.671506,37.95325;-75.885106,37.909435;-75.961783,38.139466;-75.846768,38.210667;-76.049415,38.303775;-76.257538,38.320205;-76.263015,38.500944;-76.257538,38.736453;-76.279446,39.147223;-76.169907,39.333439;-75.972737,39.557994;-76.098707,39.536086;-76.367077,39.311532;-76.443754,39.196516;-76.55877,38.769315;-76.514954,38.539283;-76.399939,38.259959;-76.317785,38.139466;-76.591632,38.216144;-76.920248,38.292821;-77.205049,38.358544;-77.276249,38.479037;-77.040741,38.791222;-76.909294,38.895284;-77.117418,38.933623;-77.248864,39.026731;-77.456988,39.223901;-77.566527,39.306055;-77.834897,39.601809;-78.004682,39.601809;-78.267575,39.61824;-78.431884,39.623717;-78.765977,39.585379;-78.963147,39.437501;-79.291763,39.300578;-79.488933,39.20747
massachusetts	Massachusetts	-70.917521,42.887974;-70.818936,42.871543;-70.780598,42.696281;-70.824413,42.55388;-70.983245,42.422434;-70.988722,42.269079;-70.769644,42.247172;-70.638197,42.08834;-70.660105,41.962371;-70.550566,41.929509;-70.539613,41.814493;-70.260289,41.715908;-69.937149,41.809016;-70.008349,41.672093;-70.484843,41.5516;-70.660105,41.546123;-70.764167,41.639231;-70.928475,41.611847;-70.933952,41.540646;-71.120168,41.496831;-71.196845,41.67757;-71.22423,41.710431;-71.328292,41.781632;-71.383061,42.01714;-71.530939,42.01714;-71.799309,42.006186;-71.799309,42.022617;-73.053528,42.039048;-73.486206,42.050002;-73.508114,42.08834;-73.267129,42.745573;-72.456542,42.729142;-71.29543,42.696281;-71.185891,42.789389;-70.917521,42.887974
michigan	Michigan	-87.589328,45.095181;-87.742682,45.199243;-87.885083,45.363551;-87.781021,45.675736;-88.10416,45.922199;-88.662808,45.987922;-90.119674,46.338446;-90.415429,46.568478;-89.851304,46.793032;-89.128348,46.990202;-88.887363,47.099741;-88.575177,47.247618;-88.180837,47.455742;-88.350623,47.077833;-88.438254,46.787555;-87.901513,46.908048;-87.392158,46.535616;-87.008772,46.530139;-86.696587,46.437031;-85.880522,46.68897;-85.256151,46.754694;-85.064458,46.760171;-84.82895,46.442508;-84.549626,46.4206;-84.127902,46.530139;-83.990978,46.031737;-83.7719,46.091984;-83.476146,45.987922;-84.111471,45.976968;-84.659165,46.053645;-84.70298,45.850998;-84.82895,45.872906;-85.338305,46.091984;-85.661445,45.966014;-86.209139,45.960537;-86.351539,45.796229;-86.647294,45.834568;-86.838987,45.725029;-87.17308,45.659305;-87.611236,45.122565
minnesota	Minnesota	-92.014696,46.705401;-92.29402,46.667063;-92.354266,46.015307;-92.869098,45.719552;-92.770513,45.566198;-92.75956,45.286874;-92.808852,44.750133;-92.337835,44.552964;-91.927065,44.333886;-91.592971,44.032654;-91.242447,43.775238;-91.215062,43.501391;-96.451017,43.501391;-96.681049,45.412843;-96.560556,45.933153;-96.719387,46.437031;-96.785111,46.924479;-96.856311,47.609096;-97.130158,48.140359;-97.097296,48.682577;-95.152983,49.000239;-94.955813,49.372671;-94.69292,48.775685;-94.260241,48.699007;-93.838517,48.627807;-93.466085,48.545653;-93.208669,48.644238;-92.655498,48.436114;-92.370697,48.222514;-92.053034,48.359437;-91.713464,48.200606;-91.565587,48.041775;-91.083616,48.178698;-90.749522,48.091067;-90.377091,48.091067;-89.873212,47.987005;-89.637704,47.954144;-90.437337,47.729589;-91.171247,47.368111;-91.642264,47.028541
mississippi	Mississippi	-88.471115,34.995703;-88.202745,34.995703;-88.098683,34.891641;-88.241084,33.796253;-88.471115,31.895754;-88.394438,30.367688;-88.503977,30.323872;-88.744962,30.34578;-88.843547,30.411504;-89.084533,30.367688;-89.418626,30.252672;-89.522688,30.181472;-89.643181,30.285534;-89.681519,30.449842;-89.845827,30.66892;-89.747242,30.997536;-91.636787,30.997536;-91.565587,31.068736;-91.636787,31.265906;-91.516294,31.27686;-91.499863,31.643815;-91.401278,31.621907;-91.341032,31.846462;-91.105524,31.988862;-90.985031,32.218894;-91.006939,32.514649;-91.154816,32.640618;-91.143862,32.843265;-91.072662,32.887081;-91.16577,33.002096;-91.089093,33.13902;-91.143862,33.347144;-91.056231,33.429298;-91.231493,33.560744;-91.072662,33.867453;-90.891923,34.026284;-90.952169,34.135823;-90.744046,34.300131;-90.749522,34.365854;-90.568783,34.420624;-90.585214,34.617794;-90.481152,34.661609;-90.409952,34.831394;-90.251121,34.908072;-90.311367,34.995703;-88.471115,34.995703
missouri	Missouri	-91.833957,40.609566;-91.729895,40.615043;-91.527248,40.412397;-91.417709,40.379535;-91.494386,40.034488;-91.368417,39.727779;-91.061708,39.470363;-90.661891,38.928146;-90.585214,38.867899;-90.470199,38.961007;-90.10872,38.845992;-90.207305,38.725499;-90.179921,38.632391;-90.355183,38.216144;-90.059428,38.013497;-89.949889,37.88205;-89.517211,37.690357;-89.517211,37.537003;-89.435057,37.34531;-89.292656,36.994786;-89.133825,36.983832;-89.215979,36.578538;-89.418626,36.496384;-89.484349,36.496384;-89.539119,36.496384;-89.730812,35.997983;-90.377091,35.997983;-90.218259,36.184199;-90.152536,36.496384;-94.473842,36.501861;-94.616242,36.501861;-94.610765,39.158177;-94.824366,39.20747;-94.983197,39.442978;-94.884612,39.831841;-95.207752,39.908518;-95.306337,40.001626;-95.7664,40.587659;-94.632673,40.571228;-93.257961,40.582182
montana	Montana	-104.047534,49.000239;-104.042057,47.861036;-104.047534,45.944106;-104.042057,44.996596;-105.91517,45.002073;-109.080842,45.002073;-111.05254,45.002073;-111.227803,44.580348;-111.386634,44.75561;-111.616665,44.547487;-111.868605,44.563917;-112.104113,44.520102;-112.241036,44.569394;-112.471068,44.481763;-112.887315,44.394132;-113.002331,44.448902;-113.133778,44.772041;-113.456917,44.865149;-113.45144,45.056842;-113.571933,45.128042;-113.834826,45.522382;-113.807441,45.604536;-113.98818,45.703121;-114.086765,45.593582;-114.546828,45.560721;-114.497536,45.670259;-114.568736,45.774321;-114.492059,46.037214;-114.464674,46.272723;-114.322274,46.645155;-114.623506,46.705401;-114.886399,46.809463;-114.930214,46.919002;-115.302646,47.187372;-115.527201,47.302388;-115.718894,47.42288;-115.724371,47.696727;-116.04751,49.000239;-111.50165,48.994762;-109.453274,49.000239
nebraska	Nebraska	-103.324578,43.002989;-101.626726,42.997512;-98.499393,42.997512;-98.466531,42.94822;-97.951699,42.767481;-97.831206,42.866066;-97.688806,42.844158;-97.217789,42.844158;-96.692003,42.657942;-96.626279,42.515542;-96.44554,42.488157;-96.264801,42.039048;-96.127878,41.973325;-96.062155,41.798063;-96.122401,41.67757;-96.095016,41.540646;-95.919754,41.453015;-95.925231,41.201076;-95.826646,40.976521;-95.881416,40.719105;-95.7664,40.587659;-95.552799,40.264519;-95.306337,40.001626;-101.90605,40.001626;-102.053927,40.001626;-102.053927,41.003906;-104.053011,41.003906;-104.053011,43.002989;-103.324578,43.002989
nevada	Nevada	-117.027882,42.000709;-114.04295,41.995232;-114.048427,37.000263;-114.048427,36.195153;-114.152489,36.025367;-114.251074,36.01989;-114.371566,36.140383;-114.738521,36.102045;-114.678275,35.516012;-114.596121,35.324319;-114.574213,35.138103;-114.634459,35.00118;-115.85034,35.970598;-116.540435,36.501861;-117.498899,37.21934;-118.71478,38.101128;-120.001861,38.999346;-119.996384,40.264519;-120.001861,41.995232;-118.698349,41.989755;-117.027882,42.000709
new-hampshire	New Hampshire	-71.08183,45.303304;-71.032537,44.657025;-70.966814,43.34256;-70.807983,43.227544;-70.824413,43.128959;-70.703921,43.057759;-70.818936,42.871543;-70.917521,42.887974;-71.185891,42.789389;-71.29543,42.696281;-72.456542,42.729142;-72.544173,42.80582;-72.533219,42.953697;-72.445588,43.008466;-72.456542,43.150867;-72.379864,43.572591;-72.204602,43.769761;-72.116971,43.994316;-72.02934,44.07647;-72.034817,44.322932;-71.700724,44.41604;-71.536416,44.585825;-71.629524,44.750133;-71.4926,44.914442;-71.503554,45.013027;-71.361154,45.270443;-71.131122,45.243058;-71.08183,45.303304
new-jersey	New Jersey	-74.236547,41.14083;-73.902454,40.998429;-74.022947,40.708151;-74.187255,40.642428;-74.274886,40.489074;-74.001039,40.412397;-73.979131,40.297381;-74.099624,39.760641;-74.411809,39.360824;-74.614456,39.245808;-74.795195,38.993869;-74.888303,39.158177;-75.178581,39.240331;-75.534582,39.459409;-75.55649,39.607286;-75.561967,39.629194;-75.507197,39.683964;-75.414089,39.804456;-75.145719,39.88661;-75.129289,39.963288;-74.82258,40.127596;-74.773287,40.215227;-75.058088,40.417874;-75.069042,40.543843;-75.195012,40.576705;-75.205966,40.691721;-75.052611,40.866983;-75.134765,40.971045;-74.882826,41.179168;-74.828057,41.288707;-74.69661,41.359907;-74.236547,41.14083
new-mexico	New Mexico	-107.421329,37.000263;-106.868158,36.994786;-104.337812,36.994786;-103.001438,37.000263;-103.001438,36.501861;-103.039777,36.501861;-103.045254,34.01533;-103.067161,33.002096;-103.067161,31.999816;-106.616219,31.999816;-106.643603,31.901231;-106.528588,31.786216;-108.210008,31.786216;-108.210008,31.331629;-109.04798,31.331629;-109.042503,37.000263;-107.421329,37.000263
new-york	New York	-73.343806,45.013027;-73.332852,44.804903;-73.294514,44.437948;-73.436914,44.043608;-73.349283,43.769761;-73.245221,43.523299;-73.267129,42.745573;-73.508114,42.08834;-73.55193,41.294184;-73.727192,41.102491;-73.22879,40.905321;-73.141159,40.965568;-72.587988,40.998429;-72.259372,41.042245;-72.100541,40.992952;-73.239744,40.625997;-73.776484,40.593136;-73.935316,40.543843;-73.902454,40.998429;-74.69661,41.359907;-74.89378,41.436584;-75.074519,41.60637;-75.173104,41.869263;-75.35932,42.000709;-79.76278,42.000709;-79.76278,42.269079;-79.050778,42.690804;-78.853608,42.783912;-79.012439,42.986559;-78.486653,43.375421;-77.75822,43.34256;-77.533665,43.233021;-76.958587,43.271359;-76.41637,43.523299;-76.235631,43.528776;-76.137046,43.961454;-76.312308,44.196962;-75.912491,44.366748;-75.282643,44.848718;-74.148916,44.991119
