# Earth Location Table
# Format: Name,Description,Latmin,Latmax,Lonmin,Lonmax
# Longitude: negative for West, positive for East
# Latitude: negative for South, positive for North
Name,Description,Latmin,Latmax,Lonmin,Lonmax
ann-arbor,Ann Arbor Michigan,41.75,42.85,-84.25,-83.15
white-sands,White Sands New Mexico,32.1,34.1,-107.2,-105.7
ws-site1, White Sands Site 1,33.16,34.36,-107.34,-105.88
